기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부,비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업시간
A1100011,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",A,종합병원,G006,지역응급의료센터,1,휴게시간 13:00~14:00,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),샛강역 3번 출구,가톨릭대학교여의도성모병원,02-1661-7575,02-3779-1199,1700,1700,1700,1700,1700,1200,1600,1400,900,900,900,900,900,900,1000,930,73,45,126.9367313,37.51827234,15:06.0
A1121013,서울특별시 은평구 통일로 1021 (진관동),A,종합병원,G006,지역응급의료센터,1,휴게시간 13:00~14:00,저희 치과는 임플란트 보철 사랑니수술 등 치아에 관련된 모든 치료가능합니다(교정과도 같이 있음),샛강역 3번 출구,가톨릭대학교은평성모병원,02-1811-7755,02-1811-7755,1700,1700,1700,1700,1700,1200,1600,1400,830,830,830,830,830,830,1000,930,33,12,126.9161505,37.63360841,15:06.0
A1100047,서울특별시 관악구 관악로 242 (봉천동),B,병원,G009,응급실운영신고기관,1,응급실진료 07:00-24:00 08/15 광복절 휴무,화요일 야간진료 예약시 21시까지,서울대입구역 7번 출구 도보 5분,강남고려병원,1661-8267,02-874-7227,1800,1800,1800,1800,1800,1300,1600,1700,900,900,900,900,900,900,1000,900,87,35,126.9567817,37.48561884,15:06.0
A1100141,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",A,종합병원,G009,응급실운영신고기관,1,외래 진료 운영시간 이외에는 응급의학과 전문의 근무,"24시간 응급실 운영 응급의학과 정형외과(사지골절) 신경외과(뇌척추 수술) 내과(소화기, 순환기) 비뇨기과(요로결석, 전립선비대증) 산부인과 심장내과(심혈관 질환, 흉통) 신장내과(투석) 신경중재의학과(뇌혈관질환, 혈관색전술) 일반외과(갑상선) 영상의학과(CT, MRI) 준중환자실 8병상운영",양재역 4번 출구 도보 5분 거리,강남베드로병원,1544-7522,1544-7522,2359,2359,2359,2359,2359,2359,2359,2359,0,0,0,0,0,0,0,0,62,71,127.0395873,37.48561218,15:06.0
A1100076,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",B,병원,G009,응급실운영신고기관,1,"24시간 응급실 운영 내과/검진센터 2, 4주 토요일 휴진",관악구 봉천동 187병상 투석 가능한 요양병원입니다.,2호선 신대방역/난곡사거리 인근,강남힐병원,02-853-4600,02-853-9100,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,900,900,87,67,126.9116481,37.48165134,15:06.0
A1100043,서울특별시 강동구 동남로 892 (상일동),A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,관악구 봉천동 187병상 투석 가능한 요양병원입니다.,고덕역 4번 출구,강동경희대학교의대병원,02-440-7114,02-440-7000,1730,1730,1730,1730,1730,1200,1600,1600,830,830,830,830,830,830,900,900,52,78,127.1570848,37.55204593,15:06.0
A1100006,서울특별시 종로구 새문안로 29 (평동),A,종합병원,G006,지역응급의료센터,1,휴게시간 13:00~14:00,"일요일 및 공휴일 진료 개시, 강북구 소재, 수면다원검사, 어지럼증, 귀코목진료, 청각장애진단, 보청기, 양압기 대여, 이비인후과 6인의 의료진",서대문역 4번 출구,강북삼성병원,02-2001-2001,02-2001-1000,1700,1700,1700,1700,1700,1230,1300,1300,830,830,830,830,830,830,900,900,31,81,126.9679381,37.56849763,15:06.0
A1121842,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",B,병원,G009,응급실운영신고기관,1,점심시간 오후1시~2시 365일 24시간 응급실 운영,"24시간 진료 정형외과 수술가능(골절, 수지접합등)",답십리 사거리와 전농동 사거리 사이,강북으뜸병원,02-986-0334,02-986-0334,2000,1800,1800,2000,1800,1300,1500,1500,900,900,900,900,900,900,800,800,11,70,127.0261845,37.62542056,15:06.0
A1117285,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",B,병원,G009,응급실운영신고기관,1,"응급의료기관 외의 의료기관(응급의료시설)  응급실 운영 - 골절, 외상, 척추, 관절 질환 24시간 365일 응급 진료 및 수술","강서케이병원은 응급의료기관 외의 의료기관(응급의료시설)으로 24시간 365일 응급실 운영. 야간, 공휴일에도 골절, 외상, 관절, 척추 질환의 응급 진료 및 수술이 가능합니다.  골절, 외상, 관절, 척추 질환을 전문으로 하며  3.0T MRI, 1.5T MRI, CT, X-ray, 초음파 등 전문 진단 장비를 갖추고 있습니다.","화곡역 6번 출구, 가로공원 사거리",강서케이병원,02-1833-7530,02-6905-8585,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,900,77,18,126.836699,37.53735762,15:07.0
A1125429,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",B,병원,G009,응급실운영신고기관,1,매주 수요일 오후 휴진 (일요일 및 공휴일 휴진) 점심 13:00-14:00,평일 17시30분 접수마감/,대치역 2번 출구/대치탑프라자 201호,강철병원,02-6287-5500,02-6287-5500,1800,1800,1800,1800,1800,1300,1400,1300,900,900,900,900,900,900,1000,900,55,84,127.0942968,37.50234558,15:07.0
